,키워드,출처,카테고리,검색량,상품량,경쟁률,쇼핑전환
0,헬스장,상품,피트니스/PT,307600.0,473360.0,1.53,0.76
1,헬스,상품,웨이트용품,61210.0,9333156.0,152.47,0.62
2,벨트,상품,정장벨트,36360.0,9646001.0,265.29,0.1
3,디자인,상품,디자인문패,24420.0,21640053.0,886.16,0.27
4,학과,상품,기타교구,19400.0,16837.0,0.86,0.0
5,마네킹,인기,마네킹,13800.0,270619.0,19.61,3.72
6,디스플레이,상품,모니터,12570.0,5074783.0,403.72,0.06
7,여성,상품,중목/장목양말,9430.0,255894816.0,27136.24,0.08
8,가정용런닝머신,상품,접이식,9200.0,55649.0,6.04,2.47
9,러닝머신,상품,접이식,9040.0,198830.0,21.99,1.58
10,의류,상품,다리/발마사지기,6910.0,260913983.0,37758.89,0.28
11,수업,상품,골프레슨,4500.0,752688.0,167.26,0.01
12,실습,상품,기타교구,3880.0,124635.0,32.12,0.0
13,장식,상품,펌프스,2320.0,30415888.0,13110.29,0.12
14,소형,상품,기타소형기계,2250.0,16547119.0,7354.27,0.03
15,무음,상품,벽시계,1840.0,2396334.0,1302.35,7.01
16,전신마네킹,인기,마네킹,1500.0,43808.0,29.2,4.51
17,L3,상품,노트북,1270.0,293033.0,230.73,0.05
18,여자마네킹,인기,마네킹,1180.0,79921.0,67.72,6.31
19,데콜테마네킹,인기,마네킹,1040.0,3001.0,2.88,1.4
20,중고마네킹,인기,마네킹,850.0,342.0,0.4,11.32
21,강아지마네킹,인기,마네킹,750.0,9044.0,12.05,2.73
22,상반신마네킹,인기,마네킹,750.0,26142.0,34.85,3.71
23,두상마네킹,인기,마네킹,620.0,16605.0,26.78,4.11
24,가정용,상품,좌욕기,600.0,20825364.0,34708.94,0.0
25,가봉마네킹,인기,마네킹,580.0,7159.0,12.34,3.24
26,남자마네킹,인기,마네킹,530.0,32409.0,61.14,3.66
27,손모형,인기,마네킹,500.0,140521.0,281.04,0.31
28,아동마네킹,인기,마네킹,480.0,16524.0,34.42,5.22
29,얼굴마네킹,인기,마네킹,390.0,10562.0,27.08,2.65
30,피노키오마네킹,인기,마네킹,380.0,5612.0,14.76,8.08
31,미니마네킹,인기,마네킹,380.0,5959.0,15.68,2.6
32,목걸이마네킹,인기,마네킹,340.0,12837.0,37.75,1.83
33,유아마네킹,인기,마네킹,280.0,3368.0,12.02,4.75
34,철제마네킹,인기,마네킹,210.0,5791.0,27.57,1.75
35,손마네킹,인기,마네킹,210.0,18327.0,87.27,0.67
36,발마네킹,인기,마네킹,150.0,12397.0,82.64,1.79
